"No.","Time","Source","Destination","Protocol","Length","Identification","Sender MAC address","Sender IP address","Info"
"381","18.401290741","HewlettP_46:0f:53","Broadcast","ARP","42","","a0:2b:b8:46:0f:53","192.168.1.106","Who has 192.168.1.1? Tell 192.168.1.106"
"382","18.438546751","Dell_15:d1:e0","Broadcast","ARP","60","","28:f1:0e:15:d1:e0","192.168.1.119","Who has 192.168.1.1? Tell 192.168.1.119"
"384","18.534921512","Apple_e9:9b:b4","Broadcast","ARP","60","","48:bf:6b:e9:9b:b4","192.168.1.109","Who has 192.168.1.1? Tell 192.168.1.109"
"385","18.619170520","SamsungE_38:82:44","Broadcast","ARP","60","","18:67:b0:38:82:44","192.168.1.140","Who has 192.168.1.1? Tell 192.168.1.140"
"386","18.624313781","Apple_17:08:d0","Broadcast","ARP","60","","a8:bb:cf:17:08:d0","192.168.1.120","Who has 192.168.1.1? Tell 192.168.1.120"
"387","18.668503688","HonHaiPr_a6:69:81","Broadcast","ARP","60","","94:53:30:a6:69:81","192.168.1.131","Who has 192.168.1.1? Tell 192.168.1.131"
"388","18.907083555","LcfcHefe_c4:1d:42","Broadcast","ARP","60","","68:f7:28:c4:1d:42","192.168.1.118","Who has 192.168.1.1? Tell 192.168.1.118"
"390","19.082596205","LiteonTe_89:d4:6b","Broadcast","ARP","60","","3c:95:09:89:d4:6b","192.168.1.122","Who has 192.168.1.1? Tell 192.168.1.122"
"391","19.162468290","Apple_45:18:cc","Broadcast","ARP","60","","b8:e8:56:45:18:cc","192.168.1.128","Who has 192.168.1.1? Tell 192.168.1.128"
"392","19.198327972","LiteonTe_95:f8:bf","Broadcast","ARP","60","","98:22:ef:95:f8:bf","192.168.1.130","Who has 192.168.1.1? Tell 192.168.1.130"
"393","19.221407740","HewlettP_7b:d9:e4","Broadcast","ARP","60","","d4:c9:ef:7b:d9:e4","192.168.1.111","Who has 192.168.1.1? Tell 192.168.1.111"
"394","19.372650473","IntelCor_e4:13:a8","Broadcast","ARP","60","","34:e6:ad:e4:13:a8","192.168.1.108","Who has 192.168.1.1? Tell 192.168.1.108"
"395","19.389959799","LiteonTe_05:e8:c4","Broadcast","ARP","60","","3c:a0:67:05:e8:c4","192.168.1.144","Who has 192.168.1.1? Tell 192.168.1.144"
"396","19.425217850","HewlettP_46:0f:53","Broadcast","ARP","42","","a0:2b:b8:46:0f:53","192.168.1.106","Who has 192.168.1.1? Tell 192.168.1.106"
"398","19.462947103","Dell_15:d1:e0","Broadcast","ARP","60","","28:f1:0e:15:d1:e0","192.168.1.119","Who has 192.168.1.1? Tell 192.168.1.119"
"399","19.496270927","Azurewav_22:40:a3","Broadcast","ARP","60","","28:c2:dd:22:40:a3","192.168.1.147","Who has 192.168.1.1? Tell 192.168.1.147"
"400","19.537990799","Apple_e9:9b:b4","Broadcast","ARP","60","","48:bf:6b:e9:9b:b4","192.168.1.109","Who has 192.168.1.1? Tell 192.168.1.109"
"401","19.626675554","Apple_17:08:d0","Broadcast","ARP","60","","a8:bb:cf:17:08:d0","192.168.1.120","Who has 192.168.1.1? Tell 192.168.1.120"
"402","19.643728731","SamsungE_38:82:44","Broadcast","ARP","60","","18:67:b0:38:82:44","192.168.1.140","Who has 192.168.1.1? Tell 192.168.1.140"
"403","20.083634343","LiteonTe_89:d4:6b","Broadcast","ARP","60","","3c:95:09:89:d4:6b","192.168.1.122","Who has 192.168.1.1? Tell 192.168.1.122"
"404","20.090240877","IntelCor_e4:13:a8","Broadcast","ARP","60","","34:e6:ad:e4:13:a8","192.168.1.108","Who has 192.168.1.1? Tell 192.168.1.108"
"406","20.221818316","HewlettP_7b:d9:e4","Broadcast","ARP","60","","d4:c9:ef:7b:d9:e4","192.168.1.111","Who has 192.168.1.1? Tell 192.168.1.111"
"407","20.224182120","Apple_45:18:cc","Broadcast","ARP","60","","b8:e8:56:45:18:cc","192.168.1.128","Who has 192.168.1.1? Tell 192.168.1.128"
"408","20.233525044","Azurewav_22:40:a3","Broadcast","ARP","60","","28:c2:dd:22:40:a3","192.168.1.147","Who has 192.168.1.1? Tell 192.168.1.147"
"412","20.487401499","Dell_15:d1:e0","Broadcast","ARP","60","","28:f1:0e:15:d1:e0","192.168.1.119","Who has 192.168.1.1? Tell 192.168.1.119"
"413","20.543610171","Apple_e9:9b:b4","Broadcast","ARP","60","","48:bf:6b:e9:9b:b4","192.168.1.109","Who has 192.168.1.1? Tell 192.168.1.109"
"414","20.550551165","LiteonTe_95:f8:bf","Broadcast","ARP","60","","98:22:ef:95:f8:bf","192.168.1.130","Who has 192.168.1.1? Tell 192.168.1.130"
"415","20.627363200","Apple_17:08:d0","Broadcast","ARP","60","","a8:bb:cf:17:08:d0","192.168.1.120","Who has 192.168.1.1? Tell 192.168.1.120"
"416","20.667871165","SamsungE_38:82:44","Broadcast","ARP","60","","18:67:b0:38:82:44","192.168.1.140","Who has 192.168.1.1? Tell 192.168.1.140"
"417","20.767148614","LcfcHefe_c4:1d:42","Broadcast","ARP","60","","68:f7:28:c4:1d:42","192.168.1.118","Who has 192.168.1.1? Tell 192.168.1.118"
"418","20.773887017","AsustekC_37:7a:f9","Broadcast","ARP","60","","2c:56:dc:37:7a:f9","192.168.1.103","Who has 192.168.1.1? Tell 192.168.1.103"
"421","21.082147279","LiteonTe_89:d4:6b","Broadcast","ARP","60","","3c:95:09:89:d4:6b","192.168.1.122","Who has 192.168.1.1? Tell 192.168.1.122"
"422","21.089422348","IntelCor_e4:13:a8","Broadcast","ARP","60","","34:e6:ad:e4:13:a8","192.168.1.108","Who has 192.168.1.1? Tell 192.168.1.108"
"423","21.147573458","IntelCor_ce:0a:22","Broadcast","ARP","60","","10:02:b5:ce:0a:22","192.168.1.148","Who has 192.168.1.1? Tell 192.168.1.148"
"424","21.177419200","Azurewav_22:40:a3","Broadcast","ARP","60","","28:c2:dd:22:40:a3","192.168.1.147","Who has 192.168.1.1? Tell 192.168.1.147"
"425","21.232419584","CompalIn_bd:cd:3a","Broadcast","ARP","60","","f0:76:1c:bd:cd:3a","192.168.1.126","Who has 192.168.1.1? Tell 192.168.1.126"
"426","21.283855385","Apple_45:18:cc","Broadcast","ARP","60","","b8:e8:56:45:18:cc","192.168.1.128","Who has 192.168.1.1? Tell 192.168.1.128"
"427","21.367379701","AsustekC_37:7a:f9","Broadcast","ARP","60","","2c:56:dc:37:7a:f9","192.168.1.103","Who has 192.168.1.1? Tell 192.168.1.103"
"428","21.407908264","LcfcHefe_c4:1d:42","Broadcast","ARP","60","","68:f7:28:c4:1d:42","192.168.1.118","Who has 192.168.1.1? Tell 192.168.1.118"
"430","21.511565937","Dell_15:d1:e0","Broadcast","ARP","60","","28:f1:0e:15:d1:e0","192.168.1.119","Who has 192.168.1.1? Tell 192.168.1.119"
"431","21.549220182","Apple_e9:9b:b4","Broadcast","ARP","60","","48:bf:6b:e9:9b:b4","192.168.1.109","Who has 192.168.1.1? Tell 192.168.1.109"
"432","21.578837898","LiteonTe_95:f8:bf","Broadcast","ARP","60","","98:22:ef:95:f8:bf","192.168.1.130","Who has 192.168.1.1? Tell 192.168.1.130"
"433","21.593546554","Sony_ba:04:92","Broadcast","ARP","60","","54:53:ed:ba:04:92","192.168.1.117","Who has 192.168.1.1? Tell 192.168.1.117"
"434","21.627688341","Apple_17:08:d0","Broadcast","ARP","60","","a8:bb:cf:17:08:d0","192.168.1.120","Who has 192.168.1.1? Tell 192.168.1.120"
"435","21.692345038","SamsungE_38:82:44","Broadcast","ARP","60","","18:67:b0:38:82:44","192.168.1.140","Who has 192.168.1.1? Tell 192.168.1.140"
"436","21.860648649","HewlettP_46:0f:53","Broadcast","ARP","42","","a0:2b:b8:46:0f:53","192.168.1.106","Who has 192.168.1.1? Tell 192.168.1.106"
"437","21.887380242","IntelCor_ce:0a:22","Broadcast","ARP","60","","10:02:b5:ce:0a:22","192.168.1.148","Who has 192.168.1.1? Tell 192.168.1.148"
"438","22.144398423","CompalIn_bd:cd:3a","Broadcast","ARP","60","","f0:76:1c:bd:cd:3a","192.168.1.126","Who has 192.168.1.1? Tell 192.168.1.126"
"439","22.168509404","Sony_ba:04:92","Broadcast","ARP","60","","54:53:ed:ba:04:92","192.168.1.117","Who has 192.168.1.1? Tell 192.168.1.117"
"440","22.174835021","HonHaiPr_a6:69:81","Broadcast","ARP","60","","94:53:30:a6:69:81","192.168.1.131","Who has 192.168.1.1? Tell 192.168.1.131"
"441","22.179318049","LiteonTe_89:d4:6b","Broadcast","ARP","60","","3c:95:09:89:d4:6b","192.168.1.122","Who has 192.168.1.1? Tell 192.168.1.122"
"442","22.229488743","5a:1e:90:10:53:d8","Broadcast","ARP","60","","5a:1e:90:10:53:d8","192.168.1.121","Who has 192.168.1.1? Tell 192.168.1.121"
"443","22.353963976","Apple_45:18:cc","Broadcast","ARP","60","","b8:e8:56:45:18:cc","192.168.1.128","Who has 192.168.1.1? Tell 192.168.1.128"
"444","22.367691313","AsustekC_37:7a:f9","Broadcast","ARP","60","","2c:56:dc:37:7a:f9","192.168.1.103","Who has 192.168.1.1? Tell 192.168.1.103"
"445","22.408453385","LcfcHefe_c4:1d:42","Broadcast","ARP","60","","68:f7:28:c4:1d:42","192.168.1.118","Who has 192.168.1.1? Tell 192.168.1.118"
